Request URI,Date Time,Sum of Traffic
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:23:00+0000,51
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 02:43:00+0000,3
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 02:56:00+0000,6
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:07:00+0000,3
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:08:00+0000,7
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:13:00+0000,4
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:21:00+0000,27
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/112e9d9a-e256-11e4-bb2d-a79547bf3601,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/ef4a284a-ec9e-11e4-851b-71ed161b40fb,2015-04-30 03:34:00+0000,47
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:31:00+0000,45
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/985050ba-e257-11e4-b46e-f70e90879eaa,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:25:00+0000,43
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/88c42bea-e256-11e4-8a85-8b4b154a983e,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:30:00+0000,40
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/677dfe6a-e257-11e4-b427-4f746822e085,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/3802e99a-e255-11e4-b24a-6d8c97825059,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/3802e99a-e255-11e4-b24a-6d8c97825059,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/3802e99a-e255-11e4-b24a-6d8c97825059,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/3802e99a-e255-11e4-b24a-6d8c97825059,2015-04-30 03:08:00+0000,0
